english_name,scientific_name
Sunda Teal,Anas gibberifrons
Andaman Teal,Anas albogularis
Chestnut Teal,Anas castanea
Grey Teal,Anas gracilis
Bernier's Teal,Anas bernieri
Brown Teal,Anas chlorotis
Auckland Teal,Anas aucklandica
Campbell Teal,Anas nesiotis
Malleefowl,Leipoa ocellata
Red-billed Brushturkey,Talegalla cuvieri
Black-billed Brushturkey,Talegalla fuscirostris
Collared Brushturkey,Talegalla jobiensis
Australian Brushturkey,Alectura lathami
Waigeo Brushturkey,Aepypodius bruijnii
Wattled Brushturkey,Aepypodius arfakianus
Maleo,Macrocephalon maleo
Moluccan Megapode,Eulipoa wallacei
Tongan Megapode,Megapodius pritchardii
Micronesian Megapode,Megapodius laperouse
Nicobar Megapode,Megapodius nicobariensis
Philippine Megapode,Megapodius cumingii
Sula Megapode,Megapodius bernsteinii
Tanimbar Megapode,Megapodius tenimberensis
Dusky Megapode,Megapodius freycinet
Biak Scrubfowl,Megapodius geelvinkianus
Melanesian Megapode,Megapodius eremita
Vanuatu Megapode,Megapodius layardi
New Guinea Scrubfowl,Megapodius decollatus
Orange-footed Scrubfowl,Megapodius reinwardt
Highland Guan,Penelopina nigra
Black Guan,Chamaepetes unicolor
Sickle-winged Guan,Chamaepetes goudotii
Wattled Guan,Aburria aburri
Trinidad Piping Guan,Pipile pipile
Blue-throated Piping Guan,Pipile cumanensis
White-throated Piping Guan,Pipile grayi
Red-throated Piping Guan,Pipile cujubi
Black-fronted Piping Guan,Pipile jacutinga
Band-tailed Guan,Penelope argyrotis
Bearded Guan,Penelope barbata
Baudo Guan,Penelope ortoni
Andean Guan,Penelope montagnii
Marail Guan,Penelope marail
Rusty-margined Guan,Penelope superciliaris
Red-faced Guan,Penelope dabbenei
Spix's Guan,Penelope jacquacu
Crested Guan,Penelope purpurascens
Cauca Guan,Penelope perspicax
White-winged Guan,Penelope albipennis
Dusky-legged Guan,Penelope obscura
Yungas Guan,Penelope bridgesi
White-crested Guan,Penelope pileata
Chestnut-bellied Guan,Penelope ochrogaster
White-browed Guan,Penelope jacucaca
Horned Guan,Oreophasis derbianus
Great Curassow,Crax rubra
Blue-billed Curassow,Crax alberti
Yellow-knobbed Curassow,Crax daubentoni
Black Curassow,Crax alector
Wattled Curassow,Crax globulosa
Bare-faced Curassow,Crax fasciolata
Red-billed Curassow,Crax blumenbachii
Helmeted Curassow,Pauxi pauxi
Sira Curassow,Pauxi koepckeae
Horned Curassow,Pauxi unicornis
Nocturnal Curassow,Nothocrax urumutum
Crestless Curassow,Mitu tomentosum
Salvin's Curassow,Mitu salvini
Razor-billed Curassow,Mitu tuberosum
Plain Chachalaca,Ortalis vetula
Grey-headed Chachalaca,Ortalis cinereiceps
Chestnut-winged Chachalaca,Ortalis garrula
Rufous-vented Chachalaca,Ortalis ruficauda
Rufous-headed Chachalaca,Ortalis erythroptera
Rufous-bellied Chachalaca,Ortalis wagleri
West Mexican Chachalaca,Ortalis poliocephala
Chaco Chachalaca,Ortalis canicollis
White-bellied Chachalaca,Ortalis leucogastra
Colombian Chachalaca,Ortalis columbiana
Speckled Chachalaca,Ortalis guttata
East Brazilian Chachalaca,Ortalis araucuan
Scaled Chachalaca,Ortalis squamata
Little Chachalaca,Ortalis motmot
Chestnut-headed Chachalaca,Ortalis ruficeps
Buff-browed Chachalaca,Ortalis superciliaris
Helmeted Guineafowl,Numida meleagris
White-breasted Guineafowl,Agelastes meleagrides
Black Guineafowl,Agelastes niger
Vulturine Guineafowl,Acryllium vulturinum
Plumed Guineafowl,Guttera plumifera
Eastern Crested Guineafowl,Guttera pucherani
Western Crested Guineafowl,Guttera verreauxi
Southern Crested Guineafowl,Guttera edouardi
Nahan's Partridge,Ptilopachus nahani
Stone Partridge,Ptilopachus petrosus
Tawny-faced Quail,Rhynchortyx cinctus
Mountain Quail,Oreortyx pictus
Buffy-crowned Wood Partridge,Dendrortyx leucophrys
Long-tailed Wood Partridge,Dendrortyx macroura
Bearded Wood Partridge,Dendrortyx barbatus
Banded Quail,Philortyx fasciatus
Northern Bobwhite,Colinus virginianus
Yucatan Bobwhite,Colinus nigrogularis
Spot-bellied Bobwhite,Colinus leucopogon
Crested Bobwhite,Colinus cristatus
Gambel's Quail,Callipepla gambelii
California Quail,Callipepla californica
Scaled Quail,Callipepla squamata
Elegant Quail,Callipepla douglasii
Ocellated Quail,Cyrtonyx ocellatus
Montezuma Quail,Cyrtonyx montezumae
Singing Quail,Dactylortyx thoracicus
Marbled Wood Quail,Odontophorus gujanensis
Spot-winged Wood Quail,Odontophorus capueira
Black-eared Wood Quail,Odontophorus melanotis
Black-fronted Wood Quail,Odontophorus atrifrons
Rufous-fronted Wood Quail,Odontophorus erythrops
Chestnut Wood Quail,Odontophorus hyperythrus
Dark-backed Wood Quail,Odontophorus melanonotus
Rufous-breasted Wood Quail,Odontophorus speciosus
Tacarcuna Wood Quail,Odontophorus dialeucos
Gorgeted Wood Quail,Odontophorus strophium
Venezuelan Wood Quail,Odontophorus columbianus
Black-breasted Wood Quail,Odontophorus leucolaemus
Stripe-faced Wood Quail,Odontophorus balliviani
Starred Wood Quail,Odontophorus stellatus
Spotted Wood Quail,Odontophorus guttatus
Udzungwa Forest Partridge,Xenoperdix udzungwensis
Ferruginous Partridge,Caloperdix oculeus
Crested Partridge,Rollulus rouloul
Black Partridge,Melanoperdix niger
Hill Partridge,Arborophila torqueola
Sichuan Partridge,Arborophila rufipectus
Chestnut-breasted Partridge,Arborophila mandellii
White-necklaced Partridge,Arborophila gingica
Rufous-throated Partridge,Arborophila rufogularis
Red-billed Partridge,Arborophila rubrirostris
Chestnut-headed Partridge,Arborophila cambodiana
Hainan Partridge,Arborophila ardens
Taiwan Partridge,Arborophila crudigularis
White-cheeked Partridge,Arborophila atrogularis
Bar-backed Partridge,Arborophila brunneopectus
Orange-necked Partridge,Arborophila davidi
Red-breasted Partridge,Arborophila hyperythra
Malayan Partridge,Arborophila campbelli
Roll's Partridge,Arborophila rolli
Sumatran Partridge,Arborophila sumatrana
Chestnut-bellied Partridge,Arborophila javanica
Grey-breasted Partridge,Arborophila orientalis
Snow Partridge,Lerwa lerwa
Blood Pheasant,Ithaginis cruentus
Western Tragopan,Tragopan melanocephalus
Satyr Tragopan,Tragopan satyra
Blyth's Tragopan,Tragopan blythii
Temminck's Tragopan,Tragopan temminckii
Cabot's Tragopan,Tragopan caboti
Chestnut-throated Monal-Partridge,Tetraophasis obscurus
Buff-throated Monal-Partridge,Tetraophasis szechenyii
Himalayan Monal,Lophophorus impejanus
Sclater's Monal,Lophophorus sclateri
Chinese Monal,Lophophorus lhuysii
Long-billed Partridge,Rhizothera longirostris
Dulit Partridge,Rhizothera dulitensis
Koklass Pheasant,Pucrasia macrolopha
Ocellated Turkey,Meleagris ocellata
Wild Turkey,Meleagris gallopavo
Ruffed Grouse,Bonasa umbellus
Chinese Grouse,Tetrastes sewerzowi
Hazel Grouse,Tetrastes bonasia
Sage Grouse,Centrocercus urophasianus
Gunnison Grouse,Centrocercus minimus
Sooty Grouse,Dendragapus fuliginosus
Dusky Grouse,Dendragapus obscurus
Sharp-tailed Grouse,Tympanuchus phasianellus
Greater Prairie Chicken,Tympanuchus cupido
Lesser Prairie Chicken,Tympanuchus pallidicinctus
White-tailed Ptarmigan,Lagopus leucura
Rock Ptarmigan,Lagopus muta
Red Grouse,Lagopus scotica
Willow Ptarmigan,Lagopus lagopus
Siberian Grouse,Falcipennis falcipennis
Spruce Grouse,Canachites canadensis
Black-billed Capercaillie,Tetrao urogalloides
Western Capercaillie,Tetrao urogallus
Caucasian Grouse,Lyrurus mlokosiewiczi
Black Grouse,Lyrurus tetrix
Tibetan Partridge,Perdix hodgsoniae
Daurian Partridge,Perdix dauurica
Grey Partridge,Perdix perdix
Copper Pheasant,Syrmaticus soemmerringii
Reeves's Pheasant,Syrmaticus reevesii
Mikado Pheasant,Syrmaticus mikado
Elliot's Pheasant,Syrmaticus ellioti
Mrs. Hume's Pheasant,Syrmaticus humiae
Golden Pheasant,Chrysolophus pictus
Lady Amherst's Pheasant,Chrysolophus amherstiae
Green Pheasant,Phasianus versicolor
Common Pheasant,Phasianus colchicus
Cheer Pheasant,Catreus wallichii
Tibetan Eared Pheasant,Crossoptilon harmani
White Eared Pheasant,Crossoptilon crossoptilon
Brown Eared Pheasant,Crossoptilon mantchuricum
Blue Eared Pheasant,Crossoptilon auritum
Swinhoe's Pheasant,Lophura swinhoii
Bulwer's Pheasant,Lophura bulweri
Kalij Pheasant,Lophura leucomelanos
Silver Pheasant,Lophura nycthemera
Malayan Crestless Fireback,Lophura erythrophthalma
Bornean Crestless Fireback,Lophura pyronota
Siamese Fireback,Lophura diardi
Salvadori's Pheasant,Lophura inornata
Malayan Crested Fireback,Lophura rufa
Bornean Crested Fireback,Lophura ignita
Great Argus,Argusianus argus
Vietnamese Crested Argus,Rheinardia ocellata
Malayan Crested Argus,Rheinardia nigrescens
Congo Peafowl,Afropavo congensis
Indian Peafowl,Pavo cristatus
Green Peafowl,Pavo muticus
Green-legged Partridge,Tropicoperdix chloropus
Chestnut-necklaced Partridge,Tropicoperdix charltonii
Sabah Partridge,Tropicoperdix graydoni
Crimson-headed Partridge,Haematortyx sanguiniceps
Red Spurfowl,Galloperdix spadicea
Painted Spurfowl,Galloperdix lunulata
Sri Lanka Spurfowl,Galloperdix bicalcarata
Palawan Peacock-Pheasant,Polyplectron napoleonis
Bornean Peacock-Pheasant,Polyplectron schleiermacheri
Malayan Peacock-Pheasant,Polyplectron malacense
Germain's Peacock-Pheasant,Polyplectron germaini
Hainan Peacock-Pheasant,Polyplectron katsumatae
Grey Peacock-Pheasant,Polyplectron bicalcaratum
Mountain Peacock-Pheasant,Polyplectron inopinatum
Sumatran Peacock-Pheasant,Polyplectron chalcurum
Mountain Bamboo Partridge,Bambusicola fytchii
Chinese Bamboo Partridge,Bambusicola thoracicus
Taiwan Bamboo Partridge,Bambusicola sonorivox
Green Junglefowl,Gallus varius
Red Junglefowl,Gallus gallus
Grey Junglefowl,Gallus sonneratii
Sri Lanka Junglefowl,Gallus lafayettii
Latham's Francolin,Peliperdix lathami
Coqui Francolin,Campocolinus coqui
White-throated Francolin,Campocolinus albogularis
Schlegel's Francolin,Campocolinus schlegelii
Ring-necked Francolin,Scleroptila streptophora
Red-winged Francolin,Scleroptila levaillantii
Finsch's Francolin,Scleroptila finschi
Moorland Francolin,Scleroptila psilolaema
Elgon Francolin,Scleroptila elgonensis
Grey-winged Francolin,Scleroptila afra
Orange River Francolin,Scleroptila gutturalis
Shelley's Francolin,Scleroptila shelleyi
Whyte's Francolin,Scleroptila whytei
Crested Francolin,Ortygornis sephaena
Swamp Francolin,Ortygornis gularis
Grey Francolin,Ortygornis pondicerianus
Chinese Francolin,Francolinus pintadeanus
Painted Francolin,Francolinus pictus
Black Francolin,Francolinus francolinus
Tibetan Snowcock,Tetraogallus tibetanus
Altai Snowcock,Tetraogallus altaicus
Caucasian Snowcock,Tetraogallus caucasicus
Caspian Snowcock,Tetraogallus caspius
Himalayan Snowcock,Tetraogallus himalayensis
See-see Partridge,Ammoperdix griseogularis
Sand Partridge,Ammoperdix heyi
Brown Quail,Synoicus ypsilophorus
Snow Mountain Quail,Synoicus monorthonyx
King Quail,Synoicus chinensis
Blue Quail,Synoicus adansonii
Madagascar Partridge,Margaroperdix madagarensis
Japanese Quail,Coturnix japonica
Common Quail,Coturnix coturnix
Rain Quail,Coturnix coromandelica
Harlequin Quail,Coturnix delegorguei
Stubble Quail,Coturnix pectoralis
Barbary Partridge,Alectoris barbara
Arabian Partridge,Alectoris melanocephala
Red-legged Partridge,Alectoris rufa
Chukar Partridge,Alectoris chukar
Rock Partridge,Alectoris graeca
Philby's Partridge,Alectoris philbyi
Przevalski's Partridge,Alectoris magna
Jungle Bush Quail,Perdicula asiatica
Rock Bush Quail,Perdicula argoondah
Painted Bush Quail,Perdicula erythrorhyncha
Hartlaub's Spurfowl,Pternistis hartlaubi
Handsome Spurfowl,Pternistis nobilis
Mount Cameroon Spurfowl,Pternistis camerunensis
Chestnut-naped Spurfowl,Pternistis castaneicollis
Erckel's Spurfowl,Pternistis erckelii
Djibouti Spurfowl,Pternistis ochropectus
Swierstra's Spurfowl,Pternistis swierstrai
Ahanta Spurfowl,Pternistis ahantensis
Grey-striped Spurfowl,Pternistis griseostriatus
Jackson's Spurfowl,Pternistis jacksoni
Cape Spurfowl,Pternistis capensis
Red-billed Spurfowl,Pternistis adspersus
Natal Spurfowl,Pternistis natalensis
Hildebrandt's Spurfowl,Pternistis hildebrandti
Double-spurred Spurfowl,Pternistis bicalcaratus
Heuglin's Spurfowl,Pternistis icterorhynchus
Scaly Spurfowl,Pternistis squamatus
Harwood's Spurfowl,Pternistis harwoodi
Clapperton's Spurfowl,Pternistis clappertoni
Swainson's Spurfowl,Pternistis swainsonii
Yellow-necked Spurfowl,Pternistis leucoscepus
Grey-breasted Spurfowl,Pternistis rufopictus
Red-necked Spurfowl,Pternistis afer
Lesser Flamingo,Phoeniconaias minor
Andean Flamingo,Phoenicoparrus andinus
James's Flamingo,Phoenicoparrus jamesi
Chilean Flamingo,Phoenicopterus chilensis
Greater Flamingo,Phoenicopterus roseus
American Flamingo,Phoenicopterus ruber
Titicaca Grebe,Rollandia microptera
White-tufted Grebe,Rollandia rolland
Little Grebe,Tachybaptus ruficollis
Australasian Grebe,Tachybaptus novaehollandiae
Madagascar Grebe,Tachybaptus pelzelnii
Least Grebe,Tachybaptus dominicus
Pied-billed Grebe,Podilymbus podiceps
Hoary-headed Grebe,Poliocephalus poliocephalus
New Zealand Grebe,Poliocephalus rufopectus
Great Grebe,Podiceps major
Horned Grebe,Podiceps auritus
Red-necked Grebe,Podiceps grisegena
Great Crested Grebe,Podiceps cristatus
Black-necked Grebe,Podiceps nigricollis
Silvery Grebe,Podiceps occipitalis
Junin Grebe,Podiceps taczanowskii
Hooded Grebe,Podiceps gallardoi
Western Grebe,Aechmophorus occidentalis
Clark's Grebe,Aechmophorus clarkii
Great Blue Turaco,Corythaeola cristata
Grey Go-away-bird,Crinifer concolor
Bare-faced Go-away-bird,Crinifer personatus
White-bellied Go-away-bird,Crinifer leucogaster
Western Plantain-eater,Crinifer piscator
Eastern Plantain-eater,Crinifer zonurus
Purple-crested Turaco,Gallirex porphyreolophus
Rwenzori Turaco,Gallirex johnstoni
Ruspoli's Turaco,Menelikornis ruspolii
White-cheeked Turaco,Menelikornis leucotis
Violet Turaco,Tauraco violaceus
Ross's Turaco,Tauraco rossae
Yellow-billed Turaco,Tauraco macrorhynchus
Bannerman's Turaco,Tauraco bannermani
White-crested Turaco,Tauraco leucolophus
Black-billed Turaco,Tauraco schuettii
Schalow's Turaco,Tauraco schalowi
Red-crested Turaco,Tauraco erythrolophus
Guinea Turaco,Tauraco persa
Hartlaub's Turaco,Tauraco hartlaubi
Fischer's Turaco,Tauraco fischeri
Livingstone's Turaco,Tauraco livingstonii
Knysna Turaco,Tauraco corythaix
Great Bustard,Otis tarda
Arabian Bustard,Ardeotis arabs
Kori Bustard,Ardeotis kori
Great Indian Bustard,Ardeotis nigriceps
Australian Bustard,Ardeotis australis
Asian Houbara,Chlamydotis macqueenii
African Houbara,Chlamydotis undulata
Ludwig's Bustard,Neotis ludwigii
Denham's Bustard,Neotis denhami
Heuglin's Bustard,Neotis heuglinii
Nubian Bustard,Neotis nuba
Blue Korhaan,Eupodotis caerulescens
White-bellied Bustard,Eupodotis senegalensis
Karoo Korhaan,Heterotetrax vigorsii
R眉ppell's Korhaan,Heterotetrax rueppelii
Little Brown Bustard,Heterotetrax humilis
Savile's Bustard,Lophotis savilei
Buff-crested Bustard,Lophotis gindiana
Red-crested Korhaan,Lophotis ruficrista
Southern Black Korhaan,Afrotis afra
Northern Black Korhaan,Afrotis afraoides
